u,v,w
0,3,8.724493539859253
0,4,2.7173611065868677
0,6,5.218408053087255
0,8,0.6292256153614295
0,12,7.869767343192793
1,12,9.679750173176194
1,13,0.022623572210683784
1,9,1.2367546604198354
2,6,0.6537346555989021
2,9,3.6756650445915606
2,11,0.4693371447103112
3,7,3.544695830115981
3,9,1.473065064581346
5,3,8.074719556672537
5,7,2.348091331893648
5,8,1.5886127852776422
5,10,7.295753770232038
7,11,0.17449541153693793
8,11,0.40003049473202656
8,10,9.39959928376146
8,9,0.5090653775858289
8,9,8.399640597775726
9,15,9.304646582447107
9,5,0.989552418148496
9,10,2.970699128623945
9,1,8.860790728732962
10,4,6.865332616225865
10,0,0.04970484528730501
10,0,8.483560598925543
10,7,9.447939887259524
11,7,4.051758858270027
11,2,7.3918010861136185
12,15,5.045840932250009
12,3,1.3366558438179577
12,10,1.4211843795819523
12,1,9.069519333761868
12,13,0.41595551905582173
13,7,2.5922226324553996
13,0,4.979099619485043
13,4,6.868895453602562
13,6,3.2987784861927594
14,7,1.3961666063600642
14,10,5.512592183186207
14,6,0.6756151287557277
14,0,0.04712281184296785
14,12,3.8973906268157887
14,11,8.999256893611037
15,2,0.4564686693242459
