u,v,w
0,16,5.871045885542134
0,18,8.07203655324522
0,7,8.154497753312986
0,4,0.03824279073870729
0,12,6.262043771007545
0,9,9.005148878311534
1,13,5.018954957627065
1,14,6.316052117041036
1,18,7.494356112736292
2,13,0.795482385215549
2,18,6.7534723886605725
2,3,7.138775945387559
2,16,5.942432307731559
2,21,8.90279852801639
2,6,0.22006689728553908
3,5,8.090259983764312
3,10,8.240094219315527
3,22,9.06899401632687
4,19,7.00833701996331
4,7,8.286279265653302
4,18,0.40696700786149065
4,17,4.723439955118733
5,21,2.4276291771521876
5,10,9.237820267364237
5,6,7.137684981533799
6,9,1.121598375298647
6,15,8.593645833147857
6,13,3.5537806167613226
6,16,1.0680818628505762
6,20,7.193769908447523
7,11,0.37615371741166026
7,13,9.57860206155009
7,9,3.6395392977592476
8,18,1.426623815185154
8,9,6.69413773257972
8,13,3.681562071402298
8,12,7.554415064866387
8,10,6.581297764668083
8,19,4.951797294388282
9,14,6.053523116015638
9,22,3.492118457087635
10,13,8.567059719268578
10,18,8.622067018414828
11,14,8.25909144204712
12,22,0.4199823214995346
12,20,9.026318677264173
13,15,7.1862357576828035
13,14,5.18538890125056
14,19,1.736823927599861
14,15,8.83362108671146
15,20,3.14517968799386
16,18,5.361359243699342
18,21,7.385370122169215
19,20,0.599801635248356
