u,v,w
0,6,3.0658989187508103
0,7,0.4671258245899157
0,17,2.164328334673945
0,1,0.3436931727970183
1,9,4.290707031219076
2,7,7.0879991731199965
2,6,3.2760444173552683
2,10,9.095107034203874
2,3,2.8746085970037605
3,17,6.782217373412384
4,6,1.8079743372006207
4,17,1.8696481007277188
4,11,8.090794358140522
6,17,7.152354242824515
6,8,0.07744342842920471
7,12,7.699045642176788
8,15,8.430348541831346
8,13,5.9001470460213215
9,16,0.3970844037348076
9,12,6.444614038988263
10,15,4.7305960170735
11,16,2.4347547925651503
12,13,2.7022475244970465
14,16,2.600543654688674
14,15,3.314210483677199
16,17,2.9816682756146218
