u,v,w
0,18,2.6981269219984796
0,15,1.1744719310206753
1,13,0.3054061063600333
1,26,0.3054497378267118
1,23,9.132479571348881
2,18,2.894979086785856
2,3,4.126529378136955
2,0,6.642479171201505
3,6,9.828541137485178
3,8,8.99678292873228
3,25,2.529939241761845
3,23,8.578554757234997
4,0,4.977792308661399
4,9,2.031303230813244
4,21,5.5918730816717535
5,18,1.395029524223378
5,10,4.885706260920104
5,19,9.898400814636538
5,17,8.77460451281985
5,8,4.101770410828122
5,0,8.537959287006803
6,23,6.479745640886247
6,12,2.498541818159896
6,13,7.01132479667028
7,4,8.351723980389451
7,22,7.006991794258902
7,22,6.432734790504559
7,12,7.35582413666441
8,16,2.555487518427956
8,5,2.508491146248917
8,15,4.432928747048419
8,9,8.081094180158747
8,12,5.687456909561356
9,26,9.408867338324992
9,1,4.439298431588955
9,11,5.69507046499038
9,11,9.818172433866641
10,0,9.19791019773354
10,26,5.9335178210444175
10,19,0.8165835037104119
10,9,0.7593075009688177
10,12,8.45852696795493
11,16,7.416310407543386
11,14,1.529177275407012
11,14,6.639050619728804
11,24,9.046454419292616
11,7,2.799364020654137
11,23,8.395367916075267
11,16,4.747433228761709
12,20,8.494446544910863
12,20,6.367996683454857
12,21,0.12622902755725418
12,10,2.710138540917738
12,0,6.730778563587988
12,26,7.127701185199644
12,22,5.821342918663024
12,19,1.7712918388853538
12,6,0.8997389979548187
13,16,5.154147196008186
13,24,7.333260506682421
13,5,2.051815437560901
13,7,7.429583331990194
13,14,9.906457866819926
13,24,2.6996168390806385
13,0,0.6129026459029707
14,15,4.252076480036459
14,5,5.039059984204472
14,6,1.635155468191074
14,1,1.0703192247167737
14,2,4.118711705750966
14,22,9.473545759363674
15,11,1.7863505041801653
15,2,2.274931087548123
15,17,7.146087555420366
15,16,4.397536136124249
15,26,3.677234193866611
15,14,2.8557758716955863
15,10,1.9652395887151763
16,14,3.3016583020327985
16,7,4.109728142124362
16,17,3.03649403783127
16,17,0.1946156523376208
16,18,7.071620963482196
16,12,8.291838573604664
17,7,1.921047581076748
17,9,6.709314449410546
17,26,7.375787457954113
18,19,8.19741206527111
18,2,6.887760503166774
18,14,9.84793265509631
18,17,0.505432728288322
18,6,1.7493233464088587
18,17,4.25625574788824
19,22,9.044872532232345
19,18,6.442901102040878
20,1,4.769802927314693
20,4,1.8953683231317175
20,2,7.691077643509491
20,12,7.206170981179434
20,23,1.2457095291735587
20,7,5.398487593665586
20,7,7.385701899591348
21,0,7.19585921025267
21,24,4.774672618364832
21,17,0.5311302383275474
21,17,7.571496588762575
21,0,9.031571186880043
21,17,8.320711477560602
22,4,0.9581579384847194
22,17,7.098935947443431
23,10,9.41227674566587
23,24,9.626416064753125
23,2,1.8477767921678445
23,17,6.758973530049844
23,21,5.234056297961605
23,10,2.237612884933602
23,3,3.6847000755114934
23,1,3.325680289356364
24,7,1.8971525244907916
24,2,9.912989125882152
24,14,8.001922537592423
24,0,3.314870866969417
24,5,6.00867278001251
24,0,8.146311271616844
25,0,3.5458211521570773
25,21,6.519010023252064
25,3,1.1238945372312459
25,12,4.1905864296665865
26,21,5.282447230518415
26,9,9.8710116987761
26,17,4.238530123114975
26,3,1.9939686928403322
26,4,3.613924458848797
26,22,2.2487260705448553
26,19,4.748627138767594
