u,v,w
0,27,1.8952106450984318
0,25,1.293991996909386
0,20,3.899482969825663
0,31,2.579820471688489
0,9,0.9008746028994019
1,30,7.015715721167764
1,24,1.2783873999750228
1,16,4.0641792202550855
1,31,6.043179394693629
2,34,6.203172853247025
2,24,9.87917302054391
2,17,0.22245197668260497
2,12,2.689616290132232
2,13,6.8001815591093075
2,14,2.8616286685835224
2,33,0.8430638104392851
2,5,4.6351932441172305
3,5,5.3710541970552095
3,24,3.5690282338877144
3,1,3.32131528710348
3,25,6.987933006601148
3,13,0.845067021097784
3,4,0.021006790900296446
3,25,2.2729483415892893
4,5,9.301589216235577
4,11,3.211496017493485
4,2,2.8537300114103115
4,1,5.646050702179977
4,11,9.741735092903347
4,10,2.9611248616068764
4,8,2.566746643001726
4,14,5.303857650838441
5,6,7.590603568881803
5,6,3.7409234434834158
5,10,3.390790658828494
6,27,1.5823341340481045
6,28,2.3973119728435965
6,4,5.227893417212563
6,18,5.53299903129827
6,33,7.408330998976248
6,12,2.7077720759559587
6,20,9.169093123820348
7,21,9.494618100048234
7,8,7.487904405904969
7,13,4.958385686790191
7,11,7.124997781296322
7,14,5.5458274753089825
7,5,9.375266984649311
7,15,8.663867734782688
8,4,8.7012296981819
8,21,9.470323361805944
8,0,0.9897102672092839
8,23,8.760926864133072
8,25,8.756061548046807
8,22,8.133058822418256
9,15,3.372892856044858
9,20,8.045760049379702
9,1,6.539735341563801
9,33,1.7684354520677537
9,13,1.3442107268556458
9,11,4.362369027315247
9,11,1.2568607482977456
9,22,5.574726030344152
9,0,7.810863256767819
9,25,0.41628034560960425
10,27,9.293423606010645
10,5,9.506165242637682
10,29,1.1587551605596336
10,2,0.8219269983731425
11,23,6.638179158971068
12,4,0.020825205946093384
12,2,7.381226918704041
12,3,0.9121566053534758
12,4,5.264744447569188
12,9,7.857657455928365
13,17,9.796376579207763
13,33,7.0702131081747135
13,9,3.3666107648267705
14,18,1.5608583228905526
14,5,9.793886613682734
14,8,5.087510675917466
14,33,7.529836030345387
14,28,9.61550355174693
14,32,1.6047690375981838
15,13,1.24906676568039
15,0,2.6508153073552743
15,25,2.464867849246648
16,9,6.432480514596714
16,18,6.802987907652424
16,5,8.292613699673023
16,21,7.817064896123944
16,27,9.909177357158429
16,25,7.191824517510817
16,31,2.768738853891284
17,10,3.5757646305723636
17,16,0.3907969210939244
17,3,9.213486590796718
18,5,2.637105825057745
18,17,5.110053585505579
18,33,0.477228814086057
18,2,1.2384518759791319
18,30,2.60937228989762
18,21,3.5703971287543346
19,10,5.734385252449728
19,34,2.364786209803981
19,24,0.5745489179321717
20,11,6.852042499199777
20,24,6.363332305344972
20,13,6.3014639673001085
20,27,2.7938483547883584
20,4,1.9045886507533916
21,26,9.560227498818506
21,30,8.586062279212031
21,17,8.769880608254821
21,32,6.47284220345151
22,29,5.91601524698245
22,14,6.486972413838863
22,13,5.014227572170443
22,6,3.0600802823971462
22,19,6.388013558765144
22,5,1.4577827220475836
22,26,4.368003144009914
22,6,6.04741337493155
22,18,6.340323431439161
23,20,0.2401660028202124
24,29,5.759894405022581
24,3,2.3713646799876
24,14,3.4315873831513812
24,16,0.3473065157838995
24,18,6.131992644970086
25,34,6.380221126179557
26,9,6.318088553910346
26,17,3.2950397039162507
26,28,4.243301274623349
27,12,0.4600827230413196
27,1,5.298146615930023
27,15,5.22521641938725
27,15,9.66048575928709
28,4,6.280440268452113
28,17,9.24929684591071
28,2,8.712035738706454
29,19,2.0296417977621406
29,23,3.2771333713947746
29,25,8.57514914252439
29,19,5.13175810181535
29,27,4.961736230315555
30,0,8.690122565297711
30,16,5.3467552949357
30,16,0.8666376228003514
30,2,8.62573771783398
30,12,2.8887087145222234
31,13,9.062459534376144
31,18,8.639749522705445
31,14,2.586556582585904
31,21,3.2289518092631297
31,14,5.345442689978656
31,16,3.186498755102275
31,24,9.834743435569242
31,18,3.1442526237464987
32,29,6.797400112583655
32,33,0.3026115512686789
32,0,4.508058169430208
32,12,9.083489554256918
32,6,0.6259305421872075
32,8,3.326057575629341
33,30,6.44062481991484
33,34,9.122101529681238
33,6,8.468424268642517
33,21,3.711189040688656
33,31,7.517036106499205
33,0,3.2664897896769087
33,17,3.6397890971924776
33,24,5.202032857292656
34,18,1.6566002019188297
34,5,5.1645198600913576
