u,v,w
0,9,3.272254307795548
0,16,7.358205214677506
0,13,4.5275508601075725
1,20,9.152177884442098
1,13,6.990070545584563
1,18,1.9109472111949355
1,23,2.2966494050052177
1,25,8.532654767068038
2,8,9.990230341318243
2,6,5.0904265431185
2,12,4.412895138162673
3,14,7.162959792070946
3,8,1.9609577851573046
3,12,4.784758861940799
3,27,3.026443953982081
3,15,3.4828461652317877
4,7,9.352923911483957
4,5,5.628632393000293
4,9,7.997102583451606
4,19,4.371744848053975
4,18,1.3134141595242421
4,13,9.01958384400708
5,22,5.9072037034305005
5,27,9.736394292137652
5,8,4.478752744740686
6,14,8.712133488579374
6,18,1.2147092104218515
6,13,2.235228389548726
7,10,6.707996337027268
7,12,1.5273282285040302
8,21,7.6501122675546105
8,24,4.910841411947864
8,19,9.082248546071677
8,22,4.567091055656565
8,12,9.940748657577766
9,23,9.956775260943909
9,19,9.123266906525005
9,17,0.5020741284540176
9,16,6.4727824866340065
9,15,2.7198992455796143
10,12,2.8984981782536243
10,18,7.238960897931216
10,19,5.843255441782153
11,21,4.0173388202967715
11,18,7.1267392336609365
12,19,5.368360555295335
12,23,0.33830454379513264
12,20,6.728263175382393
13,27,7.920209455109309
15,18,3.2901981263096394
15,21,2.958781856665552
15,27,1.162711313532313
15,24,7.621854502191462
16,26,3.383618142154946
16,21,5.048341006494413
17,25,4.902377911104354
17,19,3.8134313681728993
18,26,3.2909265510897843
18,23,0.3864629221853033
18,24,2.424336890256323
19,22,9.791270462381343
19,27,0.9085306612622468
20,26,2.8031764889945276
20,24,2.2272242183575806
24,25,5.631307186948943
