u,v,w
0,2,3.8414899331007533
0,16,9.64495745228776
0,12,8.807972882433145
0,11,7.091952227809426
1,10,2.0085481727299137
1,14,9.367460473968716
1,8,4.316440532633155
2,7,8.125514175292919
2,10,8.102838620964505
3,14,4.31389273040122
3,17,7.147643500263423
3,1,5.20054550291729
3,13,9.441921555205559
4,1,4.040702973467129
4,0,1.9898637708916722
5,16,6.931101555988207
5,15,9.646824083776393
5,9,9.838195708672972
5,12,7.579727750788843
5,14,8.81523382212118
6,2,8.719227164220019
6,8,8.494185122587044
6,5,0.381073728072453
7,17,3.0272221410267495
7,17,5.0956292650757575
7,9,4.80464170026791
7,13,0.8954851435096545
8,16,3.165386163048365
9,6,8.792292282030719
9,4,0.499514846877237
11,1,9.662181757351743
11,2,2.593822918854177
11,4,1.6946148923795445
11,10,6.97028186676511
12,13,8.344878387996939
12,9,0.3085255827076583
12,5,0.15688509041362986
13,9,3.7833336666926556
14,11,3.778059855281224
14,15,9.037409450217744
15,10,1.7787450002475202
15,11,5.620146270896626
15,13,4.127758516772464
15,8,0.04183921949925118
16,5,2.7285580946860435
16,4,0.33643510950958744
16,3,6.7091959207648415
16,14,9.145636944456367
16,7,5.683819755457245
17,10,0.0050936268976198296
17,1,6.877599558670834
17,12,3.8512842980174886
17,15,6.6494092860703695
17,10,3.2982597335228334
