u,v,w
0,23,2.885435815604782
0,10,5.16109972441931
0,21,5.9122452793752505
1,27,8.365480147966581
1,8,4.926133013183379
2,9,2.359481213168629
2,32,3.3395402442373023
2,12,6.0313908454671585
2,24,0.4839450984660876
3,12,8.063476144220344
3,28,4.5243929050301155
3,4,0.7169375774285325
3,21,5.707013474783907
3,5,8.0880693877709
4,16,4.968277117535822
4,5,8.326213218450647
4,21,1.3933848675276406
4,7,5.482923333338584
4,12,7.587110330948437
5,26,6.639898022303177
5,32,3.2757745083020975
6,17,6.593875888337668
6,18,1.0830683494526516
6,12,3.8084351460702437
6,10,0.01978852169078893
7,16,8.301109084775401
7,30,0.21748090045541124
7,20,7.539317470404817
7,29,2.8316200544229786
7,10,1.0278633137640925
7,9,8.161033773229434
7,27,7.5808162801262124
8,24,2.9202140541576282
8,16,5.408898668998878
8,14,9.896825695483017
8,15,5.915328038237739
9,32,1.086373657173918
9,23,8.601343884800787
10,15,3.333969237385369
10,25,2.991564081102991
11,25,5.63462233035429
12,30,0.049503641634746076
12,22,9.933920191228419
13,23,6.263906234702484
13,30,6.179890491884531
13,19,3.9734771096873125
13,29,0.2410152102106533
14,33,2.278977219478562
14,25,5.132224255525077
14,27,5.148098303360826
15,24,3.704831805066494
15,16,0.7472806252222441
15,29,5.2358954640453295
16,30,4.654079944903202
16,25,6.705992136135158
16,33,1.2486044755193992
17,30,4.2813596970770815
17,22,9.848445472634115
17,21,6.454820991058591
18,22,8.43185207381037
19,23,2.2750831344862665
19,29,7.302237992030477
20,21,8.130043398210203
21,30,9.472418885335067
21,27,6.1044511192572335
21,23,1.2058047334161293
22,25,0.6947286219269211
23,29,8.447111558416065
23,26,1.814478117660997
24,28,9.035249417700772
24,31,3.902952389103719
24,32,2.070098406867457
24,33,3.5609300114460964
25,30,4.554394505140724E-4
25,28,2.286032953028241
25,27,0.023216877718935658
26,29,9.480659537455447
27,33,0.38592719940515496
27,32,5.819739619640386
28,30,9.11313038309286
29,32,4.900209706531438
