u,v,w
0,9,2.035234612716091
0,7,5.88496839685366
0,2,0.15734643313407792
0,6,5.78416407111455
0,3,0.4098640578545709
0,2,6.067518223040556
0,8,3.5364411068405834
1,4,7.675224436447765
1,2,7.068518531747932
1,6,8.60345366886114
1,4,0.8063550394646601
2,5,9.601616813088791
3,7,3.5705442635145337
3,6,6.916947857427526
3,5,5.028081136532869
3,7,8.679828736819678
4,7,2.002265986362718
4,2,1.783184209917985
5,3,1.0869820642331907
5,8,0.8069664779631558
6,9,4.67444932800038
6,0,0.31107681057353065
6,7,2.154413976853168
6,7,9.47599413240048
7,1,9.680208570702385
8,6,1.0443432384478024
8,9,8.437416674269615
8,9,3.7760303631839554
9,5,4.13359165582968
9,2,0.6320319604006652
