u,v,w
0,14,2.6399457094316348
0,2,5.435445241645057
1,7,8.374653133238493
1,11,9.898446890369863
2,13,6.030692954378475
2,9,9.07738122235705
2,19,7.893488148717084
2,18,1.5707694284236307
2,12,6.830050064042599
2,5,5.744119391401821
3,10,7.89230616206822
3,15,3.8698864618497786
5,6,2.6782772730372373
5,16,5.456253917911962
5,15,1.5334103291785517
6,8,4.760729873326419
6,11,3.1383255554710376
6,10,7.216063178323516
6,16,3.010859086808799
6,7,8.777748160291527
7,16,0.9290580821221905
7,11,3.80570526960864
8,13,5.478196077002915
8,15,5.685176573198081
8,12,4.237054485571965
9,17,2.7229936385627154
9,19,5.614027192574681
9,12,8.545374134059378
11,13,9.137037561076562
11,15,5.828396836145785
11,18,0.8509717613676926
12,19,8.892674018363602
13,16,6.110420833151968
15,18,4.311921230424814
