u,v,w
0,10,9.967126332099449
0,7,3.1449387943685334
0,13,5.777113353070646
0,7,9.673711197738948
0,4,1.8741299340616258
1,14,0.6520786725998606
1,0,4.353537450936617
2,12,0.24170222332258073
2,9,0.5219336622679571
2,4,0.4836025569071245
3,0,6.219992416422874
3,11,6.661145034025239
3,6,3.0403137190381524
3,9,2.6335268942123404
3,11,2.6986341944557832
4,12,2.928262107002743
4,8,9.88965539612909
4,7,4.053838804932304
4,3,3.4372200592299116
5,9,9.861916795791538
5,10,1.634443161299064
6,11,2.276859681770386
6,10,3.399856035029866
7,0,8.1394241875959
7,8,3.7090167783126438
7,1,4.776698984766366
7,13,0.04636481050738217
8,13,1.8303637140197349
8,3,4.617852437095815
8,11,9.78608876649094
8,3,2.2561239310735957
9,13,9.619494952111522
9,10,1.046529026190972
10,6,8.050132127806815
10,2,0.8282368443228139
11,10,5.719816906553855
12,7,2.798983436459542
12,2,8.9726248504847
12,13,3.5266820037963043
12,11,5.372249311222421
13,9,3.8666942053596043
13,11,7.815959558020417
13,3,7.002071177336382
14,6,9.802823994532185
14,9,7.68934352748635
