u,v,w
0,29,2.0165173647074273
0,24,3.37112386048131
0,22,9.543170855408889
0,17,5.282082544998964
0,24,0.3843801418545578
0,6,9.188675994817373
1,21,4.792588390392819
1,17,7.882764002679265
1,33,6.198229946925435
2,24,0.7424536597182463
2,37,3.21639873822264
2,24,1.0108835565582952
3,34,6.526639196833592
3,6,8.828962569028311
3,7,1.0939377541961848
3,6,0.8264996457829543
4,16,5.011474228669305
4,32,0.5949227800927137
4,22,0.6518489112873016
5,11,3.359259998867042
5,42,5.227056489892115
5,29,1.4013027630110697
5,44,0.42265009253841024
5,15,8.160515167218778
5,24,1.3301855335027557
5,29,8.39691979338694
5,40,7.618336612735359
6,28,7.221116661119392
6,4,3.1258788599243035
6,29,7.460823867665024
6,11,4.316691007103594
6,18,8.08441178251998
6,14,5.953413013083945
6,19,8.464785335386207
6,38,4.987499563827342
7,33,0.1665736141220786
7,8,9.76563432851053
7,6,7.740174585766335
7,0,9.155613400340377
8,24,4.325251583274112
8,13,6.460738800279104
8,7,4.692425438626314
8,16,7.531444215409638
8,43,2.9476905055687377
8,27,7.319698500927501
8,40,1.612408396292797
9,14,3.5788984135088944
9,13,9.064906544643291
9,45,2.656033210078599
9,20,6.818873606289176
9,29,7.790422790224106
10,36,2.3001794167353484
10,40,4.070296591551397
10,31,1.1832195806619539
11,3,5.257539889595155
11,24,7.683848001629697
11,46,5.755377836677652
11,14,5.691761588603763
11,2,6.73482926847983
11,9,3.2033959739890374
12,46,1.7797283414265797
12,11,4.352715816883935
12,33,2.9186492205353987
12,6,4.642856120796241
12,35,7.2363306997068015
12,9,3.208146620375061
12,21,2.27268501697544
12,32,2.015645585587058
13,42,2.392213378088095
13,12,3.682746950738575
13,0,9.535956448643741
13,41,1.7714031992134294
13,15,4.165749539705556
14,38,5.094305885476128
14,47,6.348653613564829
14,5,1.6345807869564888
14,24,9.06228463407113
14,9,3.9294873365820226
15,18,2.5665937556153526
15,27,2.8501423444463936
15,35,0.26776378185284555
15,21,8.63574461244591
15,25,0.6983538090370178
15,44,4.362468176420116
15,8,1.3056018332946806
16,4,6.651726812796452
16,37,0.7058703572169678
16,5,9.197989400977004
16,10,6.496899979587843
17,22,7.160321560477573
17,15,8.851655615559874
17,18,9.74396848349225
17,45,5.716588289428689
17,5,7.375191275558381
18,45,1.8659642794945541
18,43,4.551685642907906
18,36,3.4001900040889477
18,23,9.120002381280875
18,43,7.4658052704948465
19,10,0.9607387026166658
